song_title_original,artist_original,song_title,artist,featured_artist,modifier,mod_class,artist_id,song_title_id
ALL THE WAY UP (REMIX),"DAVID GUETTA,FAT JOE,GLOWINTHEDARK,REMY MA",ALL THE WAY UP,FAT JOE,DAVID GUETTA ; GLOWINTHEDARK; REMY MA,REMIX,REMIX,65876641,986969480
ALL THE WAY UP (WESTSIDE REMIX),"E-40,FAT JOE,FRENCH MONTANA,INFARED,REMY MA,SNOOP DOGG,THE GAME",ALL THE WAY UP,"E-40,FAT",FRENCH MONTANA; REMY MA; THE GAME,WESTSIDE REMIX,REMIX,196864207,390345044
ALL THE WAY UP (ASIAN REMIX),"FAT JOE & REMY MA FEAT. JAY PARK, AK-69, DABOYWAY, SONAONE & JOE FLIZZOW",ALL THE WAY UP,FAT JOE,JAY PARK; AK-69; DABOYWAY; SONAONE; JOE FLIZZOW,ASIAN REMIX,REMIX,263148322,762173279
ALL THE WAY UP (CLEAN),FAT JOE,ALL THE WAY UP,FAT JOE,,CLEAN,VERSION,263148322,762173279
ALL THE WAY UP CLEAN EXTENDED,FAT JOE,ALL THE WAY UP,FAT JOE,,CLEAN EXTENDED,VERSION,263148322,762173279
ALL THE WAY UP (INSTRUMENTAL),FAT JOE & REMY MA,ALL THE WAY UP,FAT JOE,,INSTRUMENTAL,VERSION,263148322,762173279
ALL THE WAY UP [KRT-MIX],FAT JOE & REMY MA,ALL THE WAY UP,FAT JOE,,KRT-MIX,VERSION,263148322,762173279
ALL THE WAY UP (MEGA REMIX),FAT JOE & REMY MA,ALL THE WAY UP,FAT JOE,,MEGA REMIX,REMIX,263148322,762173279
ALL THE WAY UP (MIX VERSION),FAT JOE,ALL THE WAY UP,FAT JOE,,MIX VERSION,VERSION,263148322,762173279
ALL THE WAY UP PARTYLIFEMUSIC REMIX,FAT JOE,ALL THE WAY UP,FAT JOE,,PARTYLIFEMUSIC REMIX,REMIX,263148322,762173279
ALL THE WAY UP (REMIX) (FEAT. FRENCH MONTANA & INFARED),FAT JOE,ALL THE WAY UP,FAT JOE,FRENCH MONTANA; INFARED,REMIX,REMIX,263148322,762173279
ALL THE WAY UP (REMIX) (FEAT. FRENCH MONTANA & INFARED),FAT JOE,ALL THE WAY UP,FAT JOE,FRENCH MONTANA; INFARED,REMIX,REMIX,263148322,762173279
ALL THE WAY UP (REMIX) (FEAT. FRENCH MONTANA & INFARED),FAT JOE,ALL THE WAY UP,FAT JOE,FRENCH MONTANA; INFARED,REMIX,REMIX,263148322,762173279
ALL THE WAY UP (REMIX),"FAT JOE,JAY-Z,REMY MA",ALL THE WAY UP,FAT JOE,JAY-Z; REMY MA,REMIX,REMIX,263148322,762173279
ALL THE WAY UP (REMIX),"FAT JOE,JAY-Z,REMY MA",ALL THE WAY UP,FAT JOE,JAY-Z; REMY MA,REMIX,REMIX,263148322,762173279
ALL THE WAY UP (REMIX),"""FAT JOE, REMY MA, DAVID GUETTA""",ALL THE WAY UP,FAT JOE,REMY MA; DAVID GUETTA,REMIX,REMIX,263148322,762173279
ALL THE WAY UP (REMIX),"FAT JOE, REMY MA, DAVID GUETTA & GLOWINTHEDARK",ALL THE WAY UP,FAT JOE,REMY MA; DAVID GUETTA; GLOWINTHEDARK,REMIX,REMIX,263148322,762173279
ALL THE WAY UP (REMIX),"FAT JOE,REMY MA,DAVID GUETTA,GLOWINTHEDARK",ALL THE WAY UP,FAT JOE,REMY MA; DAVID GUETTA; GLOWINTHEDARK,REMIX,REMIX,263148322,762173279
ALL THE WAY UP (REMIX),"FAT JOE, REMY MA, DAVID GUETTA & GLOWINTHEDARK FEAT. FRENCH MONTANA & INFARED",ALL THE WAY UP,FAT JOE,REMY MA; DAVID GUETTA; GLOWINTHEDARK; FRENCH MONTANA; INFARED,REMIX,REMIX,263148322,762173279
ALL THE WAY UP (REMIX),"FAT JOE, REMY MA, DAVID GUETTA & GLOWINTHEDARK (FEAT. FRENCH MONTANA & INFARED)",ALL THE WAY UP,FAT JOE,REMY MA; DAVID GUETTA; GLOWINTHEDARK; FRENCH MONTANA; INFARED,REMIX,REMIX,263148322,762173279
ALL THE WAY UP (REMIX),"FAT JOE, REMY MA, DAVID GUETTA & GLOWINTHEDARK (FEAT. FRENCH MONTANA & INFARED)",ALL THE WAY UP,FAT JOE,REMY MA; DAVID GUETTA; GLOWINTHEDARK; FRENCH MONTANA; INFARED,REMIX,REMIX,263148322,762173279
ALL THE WAY UP (REMIX),"FAT JOE, REMY MA & JAY Z FEAT. FRENCH MONTANA & INFARED",ALL THE WAY UP,FAT JOE,REMY MA; FRENCH MONTANA; INFARED,REMIX,REMIX,263148322,762173279
ALL THE WAY UP (REMIX)  (FEAT. FRENCH MONTANA & INFARED),"FAT JOE,JAY Z,REMY MA",ALL THE WAY UP,FAT JOE,REMY MA; FRENCH MONTANA; INFARED,REMIX,REMIX,263148322,762173279
ALL THE WAY UP (REMIX),"FAT JOE, REMY MA, JAY PARK, AK-69, DABOYWAY, SONAONE & JOE FLIZZOW",ALL THE WAY UP,FAT JOE,REMY MA; JAY PARK; AK-69; DABOYWAY; SONAONE; JOE FLIZZOW,REMIX,REMIX,263148322,762173279
ALL THE WAY UP (REMIX),"FAT JOE, REMY MA, JAY Z",ALL THE WAY UP,FAT JOE,REMY MA; JAY Z,REMIX,REMIX,263148322,762173279
ALL THE WAY UP (REMIX),"FAT JOE, REMY MA & JAY Z (FEAT. FRENCH MONTANA & INFARED)",ALL THE WAY UP,FAT JOE,REMY MA; JAY Z; FRENCH MONTANA; INFARED,REMIX,REMIX,263148322,762173279
ALL THE WAY UP (REMIX),"FAT JOE, REMY MA & JAY Z (FEAT. FRENCH MONTANA & INFARED)",ALL THE WAY UP,FAT JOE,REMY MA; JAY Z; FRENCH MONTANA; INFARED,REMIX,REMIX,263148322,762173279
ALL THE WAY UP (REMIX),"FAT JOE, REMY MA & JAY Z (FEAT. FRENCH MONTANA & INFARED)",ALL THE WAY UP,FAT JOE,REMY MA; JAY Z; FRENCH MONTANA; INFARED,REMIX,REMIX,263148322,762173279
"ALL THE WAY UP (REMIX) [FEAT. FRENCH MONTANA, INFARED]","FAT JOE, REMY MA, JAY Z",ALL THE WAY UP,FAT JOE,REMY MA; JAY Z; FRENCH MONTANA; INFARED,REMIX,REMIX,263148322,762173279
"ALL THE WAY UP (REMIX) [FEAT. FRENCH MONTANA, INFARED]","FAT JOE, REMY MA, JAY Z",ALL THE WAY UP,FAT JOE,REMY MA; JAY Z; FRENCH MONTANA; INFARED,REMIX,REMIX,263148322,762173279
ALL THE WAY UP (REMIX),"FAT JOE, REMY MA & JAY-Z",ALL THE WAY UP,FAT JOE,REMY MA; JAY-Z,REMIX,REMIX,263148322,762173279
ALL THE WAY UP (REMIX),"FAT JOE, REMY MA & JAY-Z",ALL THE WAY UP,FAT JOE,REMY MA; JAY-Z,REMIX,REMIX,263148322,762173279
ALL THE WAY UP (REMIX),"FAT JOE, REMY MA & JAY-Z (FEAT. FRENCH MONTANA & INFARED)",ALL THE WAY UP,FAT JOE,REMY MA; JAY-Z; FRENCH MONTANA; INFARED,REMIX,REMIX,263148322,762173279
ALL THE WAY UP (REMIX),"FAT JOE, REMY MA & JAY-Z (FEAT. FRENCH MONTANA & INFARED)",ALL THE WAY UP,FAT JOE,REMY MA; JAY-Z; FRENCH MONTANA; INFARED,REMIX,REMIX,263148322,762173279
ALL THE WAY UP (REMIX),FAT JOE,ALL THE WAY UP,FAT JOE,,REMIX,REMIX,263148322,762173279
ALL THE WAY UP (REMIX),FAT JOE,ALL THE WAY UP,FAT JOE,,REMIX,REMIX,263148322,762173279
ALL THE WAY UP (REMIX),FAT JOE,ALL THE WAY UP,FAT JOE,,REMIX,REMIX,263148322,762173279
ALL THE WAY UP (REMIX),FAT JOE & REMY MA,ALL THE WAY UP,FAT JOE,,REMIX,REMIX,263148322,762173279
ALL THE WAY UP REMIX,FAT JOE & REMY MA,ALL THE WAY UP,FAT JOE,,REMIX,REMIX,263148322,762173279
ALL THE WAY UP (REMIX),FAT JOE & REMY MA,ALL THE WAY UP,FAT JOE,,REMIX,REMIX,263148322,762173279
ALL THE WAY UP (REMIX),FAT JOE,ALL THE WAY UP,FAT JOE,,REMIX,REMIX,263148322,762173279
ALL THE WAY UP (REMIX),FAT JOE,ALL THE WAY UP,FAT JOE,,REMIX,REMIX,263148322,762173279
ALL THE WAY UP (REMIX),FAT JOE,ALL THE WAY UP,FAT JOE,,REMIX,REMIX,263148322,762173279
ALL THE WAY UP REMIX,FAT JOE,ALL THE WAY UP,FAT JOE,,REMIX,REMIX,263148322,762173279
ALL THE WAY UP (REMIX),FAT JOE,ALL THE WAY UP,FAT JOE,,REMIX,REMIX,263148322,762173279
ALL THE WAY UP (REMIX),FAT JOE,ALL THE WAY UP,FAT JOE,,REMIX,REMIX,263148322,762173279
ALL THE WAY UP [VERSEABLE® REWORK],FAT JOE & REMY MA,ALL THE WAY UP,FAT JOE,,VERSEABLE® REWORK,REMIX,263148322,762173279
ALL THE WAY UP (WESTSIDE REMIX),"FAT JOE & REMY MA (FEAT. FRENCH MONTANA, INFARED, SNOOP DOGG, THE GAME & E-40)",ALL THE WAY UP,FAT JOE,FRENCH MONTANA; INFARED; SNOOP DOGG; THE GAME; E-40,WESTSIDE REMIX,REMIX,263148322,762173279
ALL THE WAY UP (WESTSIDE REMIX),"FAT JOE & REMY MA (FEAT. FRENCH MONTANA, INFARED, SNOOP DOGG, THE GAME & E-40)",ALL THE WAY UP,FAT JOE,FRENCH MONTANA; INFARED; SNOOP DOGG; THE GAME; E-40,WESTSIDE REMIX,REMIX,263148322,762173279
ALL THE WAY UP (WESTSIDE REMIX),"FAT JOE, REMY MA, SNOOP DOGG, THE GAME, E-40",ALL THE WAY UP,FAT JOE,REMY MA; SNOOP DOGG; THE GAME; E-40,WESTSIDE REMIX,REMIX,263148322,762173279
ALL THE WAY UP (WESTSIDE REMIX),"FAT JOE, REMY MA, SNOOP DOGG, THE GAME & E-40 (FEAT. FRENCH MONTANA & INFARED)",ALL THE WAY UP,FAT JOE,REMY MA; SNOOP DOGG; THE GAME; E-40; FRENCH MONTANA; INFARED,WESTSIDE REMIX,REMIX,263148322,762173279
ALL THE WAY UP (WESTSIDE REMIX),"FAT JOE, REMY MA, SNOOP DOGG, THE GAME & E-40 (FEAT. FRENCH MONTANA & INFARED)",ALL THE WAY UP,FAT JOE,REMY MA; SNOOP DOGG; THE GAME; E-40; FRENCH MONTANA; INFARED,WESTSIDE REMIX,REMIX,263148322,762173279
ALL THE WAY UP (WESTSIDE REMIX),"""FAT JOE, REMY MA""",ALL THE WAY UP,FAT JOE,,WESTSIDE REMIX,REMIX,263148322,762173279
ALL THE WAY UP (WESTSIDE REMIX),FAT JOE,ALL THE WAY UP,FAT JOE,,WESTSIDE REMIX,REMIX,263148322,762173279
ALL THE WAY UP (WESTSIDE REMIX),FAT JOE,ALL THE WAY UP,FAT JOE,,WESTSIDE REMIX,REMIX,263148322,762173279
ALL THE WAY UP (WESTSIDE REMIX),FAT JOE & REMY MA,ALL THE WAY UP,FAT JOE,,WESTSIDE REMIX,REMIX,263148322,762173279
ALL THE WAY UP (WESTSIDE REMIX),FAT JOE & REMY MA,ALL THE WAY UP,FAT JOE,,WESTSIDE REMIX,REMIX,263148322,762173279
ALL THE WAY UP (WESTSIDE REMIX),FAT JOE & REMY MA,ALL THE WAY UP,FAT JOE,,WESTSIDE REMIX,REMIX,263148322,762173279
ALL THE WAY UP (WESTSIDE REMIX),FAT JOE,ALL THE WAY UP,FAT JOE,,WESTSIDE REMIX,REMIX,263148322,762173279
ALL THE WAY UP (WESTSIDE REMIX),FAT JOE,ALL THE WAY UP,FAT JOE,,WESTSIDE REMIX,REMIX,263148322,762173279
ALL THE WAY UP (WESTSIDE REMIX),FAT JOE,ALL THE WAY UP,FAT JOE,,WESTSIDE REMIX,REMIX,263148322,762173279
ALL THE WAY UP (WESTSIDE REMIX),FAT JOE,ALL THE WAY UP,FAT JOE,,WESTSIDE REMIX,REMIX,263148322,762173279
ALL THE WAY UP (WESTSIDE REMIX),FAT JOE,ALL THE WAY UP,FAT JOE,,WESTSIDE REMIX,REMIX,263148322,762173279
ALL THE WAY UP (WESTSIDE REMIX),FAT JOE,ALL THE WAY UP,FAT JOE,,WESTSIDE REMIX,REMIX,263148322,762173279
ALL THE WAY UP (WESTSIDE REMIX),FAT JOE,ALL THE WAY UP,FAT JOE,,WESTSIDE REMIX,REMIX,263148322,762173279
ALL THE WAY UP (WESTSIDE REMIX),FAT JOE,ALL THE WAY UP,FAT JOE,,WESTSIDE REMIX,REMIX,263148322,762173279
ALL THE WAY UP (WESTSIDE REMIX-CLEAN),"FAT JOE & REMY MA FEAT FRENCH MONTANA, SNOOP DOGG, THE GAME, E-40 & INFARED",ALL THE WAY UP,FAT JOE,FRENCH MONTANA; SNOOP DOGG; THE GAME; E-40; INFARED,WESTSIDE REMIX-CLEAN,REMIX,263148322,762173279
ALL THE WAY UP  (FEAT. FRENCH MONTANA),"FAT JOE,REMY MA",ALL THE WAY UP,FAT JOE,FRENCH MONTANA,,,263148322,762173279
ALL THE WAY UP  (FEAT. FRENCH MONTANA),FAT JOE,ALL THE WAY UP,FAT JOE,FRENCH MONTANA,,,263148322,762173279
ALL THE WAY UP (FT. FRENCH MONTANA),FAT JOE & REMY MA,ALL THE WAY UP,FAT JOE,FRENCH MONTANA,,,263148322,762173279
ALL THE WAY UP FT. FRENCH MONTANA,FAT JOE & REMY MA,ALL THE WAY UP,FAT JOE,FRENCH MONTANA,,,263148322,762173279
ALL THE WAY UP (FEAT. FRENCH MONTANA),FAT JOE & REMY MA,ALL THE WAY UP,FAT JOE,FRENCH MONTANA,,,263148322,762173279
ALL THE WAY UP (FT FRENCH MONTANA),FAT JOE & REMY MA,ALL THE WAY UP,FAT JOE,FRENCH MONTANA,,,263148322,762173279
ALL THE WAY UP (FEAT. FRENCH MONTANA),FAT JOE & REMY MA,ALL THE WAY UP,FAT JOE,FRENCH MONTANA,,,263148322,762173279
ALL THE WAY UP (FEAT. FRENCH MONTANA),FAT JOE & REMY MA,ALL THE WAY UP,FAT JOE,FRENCH MONTANA,,,263148322,762173279
ALL THE WAY UP,FAT JOE & REMY MA FEAT. FRENCH MONTANA & INFARED,ALL THE WAY UP,FAT JOE,FRENCH MONTANA; INFARED,,,263148322,762173279
ALL THE WAY UP,FAT JOE & REMY MA FEAT. FRENCH MONTANA & INFARED,ALL THE WAY UP,FAT JOE,FRENCH MONTANA; INFARED,,,263148322,762173279
ALL THE WAY UP,FAT JOE & REMY MA FEAT. FRENCH MONTANA & INFARED,ALL THE WAY UP,FAT JOE,FRENCH MONTANA; INFARED,,,263148322,762173279
ALL THE WAY UP,FAT JOE & REMY MA FEAT. FRENCH MONTANA & INFARED,ALL THE WAY UP,FAT JOE,FRENCH MONTANA; INFARED,,,263148322,762173279
ALL THE WAY UP,FAT JOE & REMY MA FEAT. FRENCH MONTANA & INFARED,ALL THE WAY UP,FAT JOE,FRENCH MONTANA; INFARED,,,263148322,762173279
ALL THE WAY UP,FAT JOE & REMY MA FEAT. FRENCH MONTANA & INFARED,ALL THE WAY UP,FAT JOE,FRENCH MONTANA; INFARED,,,263148322,762173279
ALL THE WAY UP,FAT JOE & REMY MA FEAT. FRENCH MONTANA & INFARED,ALL THE WAY UP,FAT JOE,FRENCH MONTANA; INFARED,,,263148322,762173279
ALL THE WAY UP  (FEAT. FRENCH MONTANA & INFARED),"FAT JOE,REMY MA",ALL THE WAY UP,FAT JOE,FRENCH MONTANA; INFARED,,,263148322,762173279
ALL THE WAY UP  (FEAT. FRENCH MONTANA & INFARED),"FAT JOE,REMY MA",ALL THE WAY UP,FAT JOE,FRENCH MONTANA; INFARED,,,263148322,762173279
ALL THE WAY UP  (FEAT. FRENCH MONTANA & INFARED),"FAT JOE,REMY MA",ALL THE WAY UP,FAT JOE,FRENCH MONTANA; INFARED,,,263148322,762173279
ALL THE WAY UP  (FEAT. FRENCH MONTANA & INFARED),"FAT JOE,REMY MA",ALL THE WAY UP,FAT JOE,FRENCH MONTANA; INFARED,,,263148322,762173279
ALL THE WAY UP  (FEAT. FRENCH MONTANA & INFARED),"FAT JOE,REMY MA",ALL THE WAY UP,FAT JOE,FRENCH MONTANA; INFARED,,,263148322,762173279
ALL THE WAY UP  (FEAT. FRENCH MONTANA & INFARED),"FAT JOE,REMY MA",ALL THE WAY UP,FAT JOE,FRENCH MONTANA; INFARED,,,263148322,762173279
ALL THE WAY UP  (FEAT. FRENCH MONTANA & INFARED),"FAT JOE,REMY MA",ALL THE WAY UP,FAT JOE,FRENCH MONTANA; INFARED,,,263148322,762173279
ALL THE WAY UP  (FEAT. FRENCH MONTANA & INFARED),"FAT JOE,REMY MA",ALL THE WAY UP,FAT JOE,FRENCH MONTANA; INFARED,,,263148322,762173279
ALL THE WAY UP  (FEAT. FRENCH MONTANA & INFARED),"FAT JOE,REMY MA",ALL THE WAY UP,FAT JOE,FRENCH MONTANA; INFARED,,,263148322,762173279
ALL THE WAY UP  (FEAT. FRENCH MONTANA & INFARED),"FAT JOE,REMY MA",ALL THE WAY UP,FAT JOE,FRENCH MONTANA; INFARED,,,263148322,762173279
ALL THE WAY UP  (FEAT. FRENCH MONTANA & INFARED),"FAT JOE,REMY MA",ALL THE WAY UP,FAT JOE,FRENCH MONTANA; INFARED,,,263148322,762173279
ALL THE WAY UP  (FEAT. FRENCH MONTANA & INFARED),"FAT JOE,REMY MA",ALL THE WAY UP,FAT JOE,FRENCH MONTANA; INFARED,,,263148322,762173279
ALL THE WAY UP  (FEAT. FRENCH MONTANA & INFARED),"FAT JOE,REMY MA",ALL THE WAY UP,FAT JOE,FRENCH MONTANA; INFARED,,,263148322,762173279
ALL THE WAY UP (FEAT. FRENCH MONTANA & INFARED),FAT JOE,ALL THE WAY UP,FAT JOE,FRENCH MONTANA; INFARED,,,263148322,762173279
ALL THE WAY UP (FEAT. FRENCH MONTANA & INFARED),FAT JOE,ALL THE WAY UP,FAT JOE,FRENCH MONTANA; INFARED,,,263148322,762173279
ALL THE WAY UP (FEAT. FRENCH MONTANA & INFARED),FAT JOE,ALL THE WAY UP,FAT JOE,FRENCH MONTANA; INFARED,,,263148322,762173279
ALL THE WAY UP (FEAT. FRENCH MONTANA & INFARED),FAT JOE,ALL THE WAY UP,FAT JOE,FRENCH MONTANA; INFARED,,,263148322,762173279
ALL THE WAY UP (FEAT. FRENCH MONTANA & INFARED),FAT JOE,ALL THE WAY UP,FAT JOE,FRENCH MONTANA; INFARED,,,263148322,762173279
ALL THE WAY UP (FEAT. FRENCH MONTANA & INFARED),FAT JOE & REMY MA,ALL THE WAY UP,FAT JOE,FRENCH MONTANA; INFARED,,,263148322,762173279
ALL THE WAY UP (FEAT. FRENCH MONTANA & INFARED),FAT JOE,ALL THE WAY UP,FAT JOE,FRENCH MONTANA; INFARED,,,263148322,762173279
ALL THE WAY UP  (FEAT. FRENCH MONTANA & INFARED),FAT JOE & REMY MA,ALL THE WAY UP,FAT JOE,FRENCH MONTANA; INFARED,,,263148322,762173279
ALL THE WAY UP  (FEAT. FRENCH MONTANA & INFARED),FAT JOE & REMY MA,ALL THE WAY UP,FAT JOE,FRENCH MONTANA; INFARED,,,263148322,762173279
ALL THE WAY UP,FAT JOE & REMY MA (FEAT. FRENCH MONTANA & INFARED),ALL THE WAY UP,FAT JOE,FRENCH MONTANA; INFARED,,,263148322,762173279
ALL THE WAY UP,FAT JOE & REMY MA (FEAT. FRENCH MONTANA & INFARED),ALL THE WAY UP,FAT JOE,FRENCH MONTANA; INFARED,,,263148322,762173279
ALL THE WAY UP,FAT JOE & REMY MA (FEAT. FRENCH MONTANA & INFARED),ALL THE WAY UP,FAT JOE,FRENCH MONTANA; INFARED,,,263148322,762173279
